,team,player,posID,espn_id,rating,change
0,Red Zone  Rockets,A.J. Brown,4,4047646,14.70,+0.7
1,Red Zone  Rockets,Patrick Mahomes,0,3139477,26.00,-0.4
2,Red Zone  Rockets,Tyreek Hill,4,3116406,29.58,-0.1
3,Red Zone  Rockets,Chase Claypool,4,4046692,14.97,-1.5
4,Red Zone  Rockets,Chuba Hubbard,2,4241416,9.46,+2.9
5,Red Zone  Rockets,Chuba Hubbard,2,4241416,6.61,+1.5
6,Red Zone  Rockets,Tyler Higbee,6,2573401,15.73,+0.2
7,Red Zone  Rockets,Devontae Booker,2,3122866,6.34,+1.3
8,Red Zone  Rockets,Khalil Herbert,23,4035886,3.47,+3.3
9,Final Deztination,DK Metcalf,4,4047650,24.53,-0.4
10,Final Deztination,Travis Kelce,6,15847,26.36,+0.2
11,Final Deztination,Aaron Jones,2,3042519,27.78,+2.5
12,Final Deztination,Josh Jacobs,2,4047365,16.30,+1.7
13,Final Deztination,Lamar Jackson,0,3916387,23.45,-1.1
14,Final Deztination,Robert Woods,4,15880,19.97,-1.3
15,Final Deztination,Ja'Marr Chase,4,4362628,20.18,+0.0
16,Final Deztination,Dawson Knox,23,3930086,16.72,-0.9
17,Game of  Jones,Derrick Henry,2,3043078,33.65,+2.8
18,Game of  Jones,Cooper Kupp,4,2977187,26.35,+1.7
19,Game of  Jones,Amari Cooper,4,2976499,19.60,-1.5
20,Game of  Jones,Joe Mixon,2,3116385,22.53,+0.4
21,Game of  Jones,Stefon Diggs,4,2976212,23.03,+0.9
22,Game of  Jones,Mark Andrews,6,3116365,21.58,+0.9
23,Game of  Jones,Marquise Brown,23,4241372,17.00,-2.1
24,Game of  Jones,Taylor Heinicke,0,2565969,5.58,-1.3
25,King's  Landry,Dalvin Cook,2,3116593,23.01,+4.8
26,King's  Landry,Darren Waller,6,2576925,21.57,-0.3
27,King's  Landry,Justin Jefferson,4,4262921,23.72,-0.7
28,King's  Landry,Chris Godwin,4,3116165,20.42,-1.2
29,King's  Landry,Justin Herbert,0,4038941,22.68,-1.5
30,King's  Landry,Odell Beckham Jr.,4,16733,10.67,+0.5
31,King's  Landry,Chase Edmonds,2,3119195,17.02,-0.2
32,King's  Landry,Tony Pollard,23,3916148,12.83,+0.3
33,OC Gang,Davante Adams,4,16800,27.62,+0.1
34,OC Gang,Jonathan Taylor,2,4242335,26.39,+1.6
35,OC Gang,DeAndre Hopkins,4,15795,24.94,+1.8
36,OC Gang,Jalen Hurts,0,4040715,21.39,-0.4
37,OC Gang,Darrell Henderson Jr.,2,4039359,,
38,OC Gang,Laviska Shenault Jr.,4,4243160,12.44,+0.9
39,OC Gang,Darrel Williams,23,3115375,10.67,+3.0
40,OC Gang,Hunter Henry,6,3046439,15.93,+0.6
41,Sutton these  Nutz,Dak Prescott,0,2577417,22.99,+0.4
42,Sutton these  Nutz,Keenan Allen,4,15818,19.90,-0.6
43,Sutton these  Nutz,Courtland Sutton,4,3128429,19.80,+2.9
44,Sutton these  Nutz,D'Andre Swift,2,4259545,23.82,+1.2
45,Sutton these  Nutz,T.J. Hockenson,6,4036133,17.89,+0.5
46,Sutton these  Nutz,James Robinson,2,4052042,24.88,+1.8
47,Sutton these  Nutz,Antonio Gibson,23,4360294,19.65,-3.3
48,Sutton these  Nutz,DeVonta Smith,4,4241478,12.75,-1.3
49,Da Coldest In the Game,Kyler Murray,0,3917315,23.50,+0.1
50,Da Coldest In the Game,Tyler Lockett,4,2577327,17.46,-0.7
51,Da Coldest In the Game,Austin Ekeler,2,3068267,30.37,-1.2
52,Da Coldest In the Game,DJ Moore,4,3915416,21.95,-1.1
53,Da Coldest In the Game,Brandin Cooks,4,16731,16.64,-0.1
54,Da Coldest In the Game,Najee Harris,2,4241457,28.83,+2.0
55,Da Coldest In the Game,Mike Evans,23,16737,21.40,-1.7
56,Da Coldest In the Game,Mike Gesicki,6,3116164,15.46,+1.2
57,Team Ger,Josh Allen,0,3918298,25.80,-0.7
58,Team Ger,Ezekiel Elliott,2,3051392,28.78,+0.5
59,Team Ger,CeeDee Lamb,4,4241389,24.39,+5.2
60,Team Ger,Terry McLaurin,4,3121422,19.88,-2.7
61,Team Ger,Kareem Hunt,2,3059915,22.19,+0.5
62,Team Ger,Diontae Johnson,23,3932905,19.81,+1.3
63,Team Ger,Mike Williams,4,3045138,22.94,+0.0
64,Team Ger,Dalton Schultz,6,3117256,13.76,-0.1
